ID,Sector,Stream,Course,Qualification,Career,Salary_LPA,Demand_2025
685,Hospitality & Travel,Science (PCB),BDS,10+2 + NEET,Travel Agent (Hospitality & Travel) Variant 597,23.8,Growing
686,Media & Design,Science (PCM),B.Tech Civil,10+2 + JEE,Film Director (Media & Design) Variant 598,8.3,High
687,Education,Science (PCB),B.Sc Nursing,10+2 + NEET,Professor (Education) Variant 599,5.7,Evergreen
688,Cybersecurity,Science (PCB),BDS,10+2 + NEET,Security Analyst (Cybersecurity) Variant 600,17.3,Emerging
689,Arts & Humanities,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Writer (Arts & Humanities) Variant 601,17.0,Growing
690,FinTech,Any Stream,B.Com,Bachelor's + UPSC,Digital Banker (FinTech) Variant 602,18.2,Emerging
691,Cybersecurity,Any Stream,LLB,Bachelor's + Cert,Incident Responder (Cybersecurity) Variant 603,6.6,Growing
692,Space Tech,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Drone Pilot (Space Tech) Variant 604,18.2,Evergreen
693,Law,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Lawyer (Law) Variant 605,7.2,High
694,AI & ML,Science (PCM),B.Pharma,10+2 + NEET,Prompt Engineer (AI & ML) Variant 606,19.5,High
695,Engineering,Science (PCB),MBBS,10+2 + NEET,EV Designer (Engineering) Variant 607,12.4,High
696,Engineering,Science (PCM),B.Pharma,10+2 + NEET,EV Designer (Engineering) Variant 608,16.2,Stable
697,Law,Science (PCB),B.Pharma,10+2 + NEET,Legal Advisor (Law) Variant 609,22.8,Emerging
698,Cybersecurity,Science (PCM),B.Tech Civil,10+2 + JEE,Incident Responder (Cybersecurity) Variant 610,18.3,Emerging
699,Science & Research,Science (PCM),B.Tech CSE,10+2 + JEE,Research Scientist (Science & Research) Variant 611,12.2,Stable
700,Healthcare,Science (PCM),B.Tech Aerospace,10+2 + JEE,Pharmacist (Healthcare) Variant 612,22.4,Evergreen
701,Law,Science (PCB),MBBS,10+2 + NEET,Legal Advisor (Law) Variant 613,21.5,Stable
702,Cybersecurity,Science (PCM/CS),B.Sc Data Science,10+2 + CLAT,Incident Responder (Cybersecurity) Variant 614,6.3,Emerging
703,Agriculture & Allied,Science (PCM),B.Tech Mechanical,10+2 + JEE,Agricultural Engineer (Agriculture & Allied) Variant 615,13.8,High
704,Media & Design,Commerce,BA Psychology,10+2 + CLAT,Graphic Designer (Media & Design) Variant 616,17.3,Growing
705,Engineering,Science (PCB),MBBS,10+2 + NEET,3D Printing Specialist (Engineering) Variant 617,9.5,Emerging
706,AI & ML,Science (PCB),B.Pharma,10+2 + NEET,Metaverse Designer (AI & ML) Variant 618,5.6,Emerging
707,Gig Economy,Science (PCB),B.Pharma,10+2 + NEET,Freelancer (Gig Economy) Variant 619,20.3,Growing
708,Agriculture & Allied,Science (PCB),MBBS,10+2 + NEET,Agricultural Engineer (Agriculture & Allied) Variant 620,18.0,High
709,Science & Research,Any Stream,LLB,10+2 + Diploma,Research Scientist (Science & Research) Variant 621,12.6,Emerging
710,IT & Technology,Science (PCM),B.Tech Civil,10+2 + JEE,Full-Stack Developer (IT & Technology) Variant 622,15.2,Growing
711,Cybersecurity,Science (PCM),B.Pharma,10+2 + NEET,Ethical Hacker (Cybersecurity) Variant 623,24.5,Evergreen
712,Science & Research,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Physicist (Science & Research) Variant 624,10.6,Emerging
713,Cybersecurity,Science (PCB),MBBS,10+2 + NEET,Security Analyst (Cybersecurity) Variant 625,5.6,Evergreen
714,Science & Research,Science (PCM),B.Tech Civil,10+2 + JEE,Chemist (Science & Research) Variant 626,19.6,High
715,Media & Design,Science (PCB),BDS,10+2 + NEET,Journalist (Media & Design) Variant 627,21.0,Stable
716,Healthcare,Arts,BHM,10+2 + Diploma,Physiotherapist (Healthcare) Variant 628,7.9,Evergreen
717,FinTech,Science (PCM),B.Tech Civil,10+2 + JEE,Digital Banker (FinTech) Variant 629,8.3,Emerging
718,Government & Defense,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Defense Analyst (Government & Defense) Variant 630,17.2,High
719,IT & Technology,Science (PCB),B.Sc Nursing,10+2 + NEET,Data Scientist (IT & Technology) Variant 631,19.5,Stable
720,Hospitality & Travel,Any Stream,B.Com,10+2 + Bachelor's,Chef (Hospitality & Travel) Variant 632,13.8,Stable
721,Education,Science (PCM),B.Pharma,10+2 + NEET,Educational Consultant (Education) Variant 633,20.7,Growing
722,Gig Economy,Science (PCB),B.Sc Nursing,10+2 + NEET,Platform Developer (Gig Economy) Variant 634,14.2,Emerging
723,Cybersecurity,Science (PCB),B.Pharma,10+2 + NEET,Security Analyst (Cybersecurity) Variant 635,18.2,Emerging
724,Education,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Teacher (Education) Variant 636,17.0,Stable
725,Government & Defense,Science (PCB),MBBS,10+2 + NEET,Policy Maker (Government & Defense) Variant 637,6.9,Stable
726,Science & Research,Science (PCB),B.Pharma,10+2 + NEET,Chemist (Science & Research) Variant 638,4.8,Emerging
727,Government & Defense,Science (PCB),B.Pharma,10+2 + NEET,Civil Servant (Government & Defense) Variant 639,17.7,Evergreen
728,Arts & Humanities,Science (PCB),MBBS,10+2 + NEET,Writer (Arts & Humanities) Variant 640,10.7,Stable
729,Law,Science (PCM),B.Tech Civil,10+2 + JEE,Judge (Law) Variant 641,13.9,High
730,Science & Research,Science (PCM),B.Tech Civil,10+2 + JEE,Research Scientist (Science & Research) Variant 642,15.0,Growing
731,Space Tech,Arts,BA Psychology,10+2 + Bachelor's,Drone Pilot (Space Tech) Variant 643,20.9,Stable
732,Agriculture & Allied,Science (PCB),MBBS,10+2 + NEET,Agri-Business Manager (Agriculture & Allied) Variant 644,5.8,Growing
733,Healthcare,Science (PCB),B.Sc Nursing,10+2 + NEET,Nurse (Healthcare) Variant 645,7.8,High
734,Engineering,Science (PCB),B.Sc Nursing,10+2 + NEET,EV Designer (Engineering) Variant 646,9.1,Evergreen
735,Arts & Humanities,Science (PCB),BDS,10+2 + NEET,Artist (Arts & Humanities) Variant 647,21.6,Emerging
736,Management,Any Stream,B.Com,Bachelor's + Cert,Operations Manager (Management) Variant 648,4.0,Growing
737,AI & ML,Science (PCB),B.Pharma,10+2 + NEET,Sustainability Consultant (AI & ML),14.6,Stable
738,Gig Economy,Any Stream,BA Psychology,10+2 + Bachelor's,Marketing Manager (Gig),7,Emerging
739,FinTech,Arts,LLB,10+2 + Diploma,CA (FinTech),3.6,Growing
740,Arts & Humanities,Science (PCM),B.Com,10+2 + CLAT,Drone Pilot (Arts),5,Evergreen
741,Healthcare,Science (PCM),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Ayurvedic Doctor (Healthcare),20.9,Emerging
742,Gig Economy,Science (PCM),BA Psychology,10+2 + CLAT,Marketing Manager (Gig) Variant 962,19.3,Evergreen
743,FinTech,Arts,BHM,Bachelor's + Cert,Investment Banker (FinTech),22.3,Growing
744,Space Tech,Commerce,B.Com,10+2 + CLAT,Marketing Manager (Space),11.2,High
745,Finance & Commerce,Science (PCB),B.Sc Data Science,10+2 + Bachelor's,Tax Consultant (Finance),4.2,Evergreen
746,AI & ML,Science (PCM),BHM,10+2 + Diploma,Sustainability Consultant (AI),22.2,Growing
747,Cybersecurity,Science (PCB),B.Tech Mechanical,10+2 + JEE,Metaverse Designer (Cybersecurity),8.8,High
748,FinTech,Arts,B.Com,10+2 + Bachelor's,Investment Banker (FinTech),23,High
749,Agriculture & Allied,Science (PCM),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,HR Manager (Agriculture),9.9,Stable
750,Government & Defense,Science (PCM),B.Sc Data Science,10+2 + Diploma,Quantum Computing Researcher (Government),24.7,Emerging
751,Law,Any Stream,BHM,Bachelor's + UPSC,Startup Founder (Law),19.4,High
752,Gig Economy,Science (PCM),B.Pharma,10+2 + NEET,Prompt Engineer (Gig),11.5,Evergreen
753,Law,Commerce,B.Com,Bachelor's + UPSC,Startup Founder (Law),7.8,Growing
754,Green Energy,Science (PCM),MBBS,10+2 + NEET,Sustainability Consultant (Green),11.4,Stable
755,Cybersecurity,Commerce,B.Sc Data Science,10+2 + CLAT,Metaverse Designer (Cybersecurity),16.5,Emerging
756,Gig Economy,Commerce,MBBS,10+2 + NEET,HR Manager (Gig),16.6,Growing
757,Agriculture & Allied,Science (PCB),BA Psychology,10+2 + CLAT,Startup Founder (Agriculture),3.5,Evergreen
758,Gig Economy,Any Stream,LLB,Bachelor's + Cert,Marketing Manager (Gig),21.9,Stable
759,Agriculture & Allied,Science (PCB),B.Sc Data Science,Bachelor's + Cert,Startup Founder (Agriculture),10.5,Evergreen
760,Green Energy,Any Stream,BA Psychology,10+2 + CLAT,Startup Founder (Green),10.2,Stable
761,E-Commerce,Science (PCM/CS),B.Sc Data Science,Bachelor's + UPSC,Startup Founder (E-Commerce),21.7,Evergreen
762,Space Tech,Science (PCM/CS),BA Psychology,10+2 + CLAT,Operations Manager (Space),19.3,Evergreen
763,Management,Science (PCM),BHM,10+2 + Diploma,Operations Manager (Management),9.3,Growing
764,Education,Arts,B.Tech Aerospace,10+2 + JEE,Prompt Engineer (Education),23.4,Evergreen
765,Engineering,Any Stream,BA Psychology,10+2 + Diploma,EV Designer (Engineering),23.5,Emerging
766,Green Energy,Science (PCB),B.Tech Mechanical,10+2 + JEE,Quantum Computing Researcher (Green),5.2,Stable
767,E-Commerce,Science (PCM),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Metaverse Designer (E-Commerce),16.2,Evergreen
768,Healthcare,Science (PCB),B.Com,10+2 + CLAT,Ayurvedic Doctor (Healthcare),24.3,Evergreen
769,E-Commerce,Science (PCB),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,HR Manager (E-Commerce),18.9,Evergreen
770,E-Commerce,Science (PCM/CS),LLB,10+2 + Diploma,Sustainability Consultant (E-Commerce),13.8,Growing
771,Government & Defense,Commerce,BA Psychology,10+2 + CLAT,Startup Founder (Government),20.9,Emerging
772,Media & Design,Commerce,BA Psychology,10+2 + CLAT,Prompt Engineer (Media),9.1,Evergreen
773,Agriculture & Allied,Science (PCB),LLB,Bachelor's + UPSC,Metaverse Designer (Agriculture),23.3,High
774,IT & Technology,Science (PCB),BHM,Bachelor's + UPSC,Full-Stack Developer (IT),13.4,Emerging
775,Media & Design,Any Stream,MBBS,10+2 + NEET,Prompt Engineer (Media),16.7,Stable
776,Media & Design,Arts,BHM,Bachelor's + Cert,Prompt Engineer (Media),9.2,High
777,FinTech,Commerce,B.Tech Aerospace,10+2 + JEE,Tax Consultant (FinTech),21.6,Growing
778,Media & Design,Any Stream,B.Tech Mechanical,10+2 + JEE,Startup Founder (Media),4.4,Growing
779,Government & Defense,Science (PCB),B.Tech Aerospace,10+2 + JEE,Startup Founder (Government),21.4,Evergreen
780,Law,Science (PCM),BA Psychology,10+2 + CLAT,Marketing Manager (Law),5.2,Evergreen
781,Healthcare,Commerce,BA Psychology,10+2 + Bachelor's,Pharmacist (Healthcare),10.6,Growing
782,Green Energy,Any Stream,BHM,Bachelor's + Cert,Drone Pilot (Green),22.5,Evergreen
783,Media & Design,Commerce,B.Tech Mechanical,10+2 + JEE,Marketing Manager (Media),15.4,High
784,AI & ML,Arts,LLB,Bachelor's + Cert,Prompt Engineer (AI),21.7,Growing
785,Management,Any Stream,B.Sc Data Science,10+2 + Bachelor's,Quantum Computing Researcher (Management),9.2,High
786,Agriculture & Allied,Science (PCB),BA Psychology,10+2 + CLAT,Sustainability Consultant (Agriculture),23.1,Evergreen
787,Hospitality & Travel,Science (PCM/CS),BA Psychology,10+2 + CLAT,Operations Manager (Hospitality),14.3,Growing
788,Agriculture & Allied,Science (PCB),BHM,10+2 + Bachelor's,Marketing Manager (Agriculture),21.9,Emerging
789,Healthcare,Arts,BA Psychology,10+2 + Diploma,Nurse (Healthcare),15.7,Emerging
790,Science & Research,Arts,B.Sc Data Science,10+2 + CLAT,Supply Chain Manager (Science),22.8,Evergreen
791,Science & Research,Arts,BA Psychology,Bachelor's + UPSC,Marketing Manager (Science),13.5,Emerging
792,Engineering,Commerce,B.Com,10+2 + CLAT,EV Designer (Engineering),7.6,Emerging
793,Management,Arts,B.Sc Data Science,10+2 + CLAT,HR Manager (Management),21.6,Evergreen
794,Space Tech,Any Stream,BHM,10+2 + CLAT,Startup Founder (Space),10,Emerging
795,Agriculture & Allied,Science (PCB),LLB,10+2 + CLAT,HR Manager (Agriculture),14.1,Evergreen
796,Cybersecurity,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Blockchain Developer (Cybersecurity),5.7,Growing
797,Green Energy,Science (PCB),BA Psychology,10+2 + CLAT,Metaverse Designer (Green),13.7,Growing
798,Green Energy,Science (PCM/CS),B.Pharma,10+2 + NEET,Prompt Engineer (Green),16.8,High
799,Education,Arts,BA Psychology,Bachelor's + Cert,Operations Manager (Education),3.7,Evergreen
800,E-Commerce,Any Stream,LLB,10+2 + Bachelor's,Quantum Computing Researcher (E-Commerce),24,Growing
801,Space Tech,Commerce,B.Tech Aerospace,10+2 + JEE,Metaverse Designer (Space),8.3,Evergreen
802,Engineering,Science (PCM),BA Psychology,10+2 + CLAT,Robotics Engineer (Engineering),19.3,High
803,Healthcare,Science (PCM),BHM,Bachelor's + UPSC,Physiotherapist (Healthcare),16.4,Evergreen
804,FinTech,Commerce,B.Pharma,10+2 + NEET,Tax Consultant (FinTech),9.6,Growing
805,IT & Technology,Science (PCB),B.Tech Civil,10+2 + JEE,Drone Pilot (IT),22,Growing
806,Law,Science (PCB),B.Tech Civil,10+2 + JEE,Prompt Engineer (Law),12.2,High
807,Science & Research,Commerce,BA Psychology,10+2 + Diploma,Metaverse Designer (Science),23.5,Stable
808,Government & Defense,Science (PCB),B.Com,10+2 + Diploma,Drone Pilot (Government),18.8,High
809,AI & ML,Arts,LLB,10+2 + Diploma,Drone Pilot (AI),23.7,Emerging
810,Finance & Commerce,Science (PCM/CS),BA Psychology,Bachelor's + UPSC,CA (Finance),22,Emerging
811,Gig Economy,Commerce,LLB,10+2 + Diploma,Supply Chain Manager (Gig),22.3,Growing
812,Cybersecurity,Commerce,BHM,Bachelor's + Cert,Cybersecurity Analyst (Cybersecurity),9.4,Growing
813,Management,Arts,LLB,10+2 + Bachelor's,Marketing Manager (Management),9.6,Emerging
814,E-Commerce,Arts,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Metaverse Designer (E-Commerce),3.2,Evergreen
815,Finance & Commerce,Science (PCM/CS),MBBS,10+2 + NEET,Investment Banker (Finance),3.2,Growing
816,Science & Research,Arts,BA Psychology,10+2 + Diploma,Supply Chain Manager (Science),13.1,Stable
817,E-Commerce,Arts,LLB,Bachelor's + Cert,HR Manager (E-Commerce),24.2,Evergreen
818,Gig Economy,Science (PCM),B.Tech Mechanical,10+2 + JEE,Supply Chain Manager (Gig),6,Emerging
819,Education,Any Stream,LLB,10+2 + Bachelor's,Operations Manager (Education),15.4,Evergreen
820,Green Energy,Science (PCM),LLB,Bachelor's + UPSC,HR Manager (Green),13.5,Growing
821,Arts & Humanities,Science (PCM),B.Tech Mechanical,10+2 + JEE,Metaverse Designer (Arts),13.7,Emerging
822,Space Tech,Any Stream,LLB,10+2 + Diploma,Startup Founder (Space),15,High
823,Management,Arts,MBBS,10+2 + NEET,Prompt Engineer (Management),9.1,High
824,IT & Technology,Arts,BHM,10+2 + Bachelor's,Metaverse Designer (IT),11.6,Stable
825,Hospitality & Travel,Any Stream,LLB,10+2 + CLAT,Metaverse Designer (Hospitality),10,Evergreen
826,Healthcare,Arts,B.Sc Data Science,Bachelor's + Cert,Dentist (Healthcare),8.7,High
827,Science & Research,Science (PCM),B.Sc Data Science,10+2 + CLAT,Marketing Manager (Science),23.9,Growing
828,Media & Design,Science (PCM/CS),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Sustainability Consultant (Media),3.3,Growing
829,Finance & Commerce,Science (PCM/CS),B.Tech Civil,10+2 + JEE,Actuary (Finance),22.1,Stable
830,Law,Science (PCM),BHM,10+2 + Diploma,Startup Founder (Law),4.2,High
831,IT & Technology,Science (PCM),B.Tech CSE,10+2 + JEE,DevOps Engineer (IT),13.3,High
832,Science & Research,Any Stream,B.Com,10+2 + CLAT,Sustainability Consultant (Science),24.7,Stable
833,Law,Arts,BDS,10+2 + NEET,Operations Manager (Law),12.4,High
834,Gig Economy,Science (PCM/CS),LLB,10+2 + Diploma,Drone Pilot (Gig),21,Emerging
835,Arts & Humanities,Science (PCB),BHM,Bachelor's + Cert,Metaverse Designer (Arts),4.7,Evergreen
836,IT & Technology,Commerce,B.Com,10+2 + Bachelor's,Prompt Engineer (IT),8,High
837,Law,Commerce,LLB,10+2 + CLAT,HR Manager (Law),4.5,Evergreen
838,Agriculture & Allied,Science (PCM/CS),BA Psychology,Bachelor's + Cert,Supply Chain Manager (Agriculture),18,Emerging
839,Engineering,Any Stream,LLB,Bachelor's + UPSC,Mechanical Engineer (Engineering),17.6,High
840,Engineering,Science (PCB),LLB,10+2 + Diploma,EV Designer (Engineering),4.3,Emerging
841,Finance & Commerce,Arts,B.Com,10+2 + CLAT,Actuary (Finance),6.8,Growing
842,Space Tech,Commerce,B.Tech Aerospace,10+2 + JEE,Drone Pilot (Space),13.4,Evergreen
843,E-Commerce,Any Stream,LLB,10+2 + CLAT,Startup Founder (E-Commerce),8.4,Evergreen
844,Cybersecurity,Any Stream,B.Com,Bachelor's + UPSC,Data Scientist (Cybersecurity),16.4,Emerging
845,Arts & Humanities,Commerce,MBBS,10+2 + NEET,Startup Founder (Arts),8,Evergreen
846,Healthcare,Science (PCM),B.Sc Data Science,10+2 + CLAT,Nurse (Healthcare),8.3,High
847,Government & Defense,Science (PCM/CS),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Metaverse Designer (Government),23.7,Growing
848,Arts & Humanities,Science (PCM/CS),LLB,Bachelor's + UPSC,Prompt Engineer (Arts),21.7,Growing
849,Agriculture & Allied,Science (PCM),BDS,10+2 + NEET,Prompt Engineer (Agriculture),16.8,Growing
850,Green Energy,Any Stream,LLB,10+2 + Bachelor's,Metaverse Designer (Green),21,Evergreen
851,Engineering,Science (PCB),B.Sc Data Science,10+2 + Bachelor's,Mechanical Engineer (Engineering),10.6,Emerging
852,FinTech,Science (PCB),B.Tech CSE,10+2 + JEE,Investment Banker (FinTech),13.5,High
853,Finance & Commerce,Any Stream,B.Tech Aerospace,10+2 + JEE,Forensic Accountant (Finance),19.8,Evergreen
854,Cybersecurity,Science (PCM/CS),B.Com,10+2 + Bachelor's,Prompt Engineer (Cybersecurity),17.7,Growing
855,Education,Arts,MBBS,10+2 + NEET,Startup Founder (Education),8.1,Evergreen
856,Agriculture & Allied,Commerce,BA Psychology,10+2 + CLAT,Startup Founder (Agriculture),9.1,Evergreen
857,Government & Defense,Any Stream,B.Sc Nursing,10+2 + NEET,Metaverse Designer (Government),11.5,Evergreen
858,E-Commerce,Science (PCB),BDS,10+2 + NEET,Sustainability Consultant (E-Commerce),13.7,Growing
859,AI & ML,Science (PCM),B.Com,10+2 + Diploma,Cloud Architect (AI),6.1,High
860,Green Energy,Science (PCM/CS),LLB,10+2 + Diploma,HR Manager (Green),16.9,High
861,Management,Commerce,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Startup Founder (Management),17.4,Growing
862,Management,Commerce,B.Sc Data Science,10+2 + Diploma,Operations Manager (Management),12.1,Evergreen
863,Management,Any Stream,B.Sc Data Science,10+2 + Diploma,Marketing Manager (Management),12.2,Evergreen
864,Media & Design,Science (PCB),BHM,Bachelor's + Cert,Metaverse Designer (Media),7.7,Evergreen
865,FinTech,Arts,BA Psychology,10+2 + CLAT,Actuary (FinTech),4.4,Emerging
866,Gig Economy,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Supply Chain Manager (Gig),8.9,Evergreen
867,Finance & Commerce,Science (PCB),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Tax Consultant (Finance),17.3,Stable
868,Science & Research,Arts,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Prompt Engineer (Science),11.6,Growing
869,Hospitality & Travel,Science (PCM),B.Tech Aerospace,10+2 + JEE,HR Manager (Hospitality),9.9,High
870,Healthcare,Commerce,B.Com,Bachelor's + Cert,Medical Researcher (Healthcare),21.5,Growing
871,Education,Arts,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Metaverse Designer (Education),17.5,Stable
872,Education,Science (PCM),LLB,10+2 + Diploma,HR Manager (Education),12.9,Evergreen
873,E-Commerce,Arts,BHM,Bachelor's + Cert,HR Manager (E-Commerce),4.1,High
874,Government & Defense,Science (PCM),B.Sc Data Science,10+2 + CLAT,Operations Manager (Government),3.3,Evergreen
875,Cybersecurity,Arts,LLB,Bachelor's + Cert,Metaverse Designer (Cybersecurity),10.7,Stable
876,Law,Science (PCM/CS),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Operations Manager (Law),6.8,Evergreen
877,Management,Any Stream,BA Psychology,Bachelor's + UPSC,Drone Pilot (Management),3.5,Emerging
878,Gig Economy,Science (PCM),B.Tech Civil,10+2 + JEE,Marketing Manager (Gig),7.5,High
879,Finance & Commerce,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Forensic Accountant (Finance),4.5,High
880,FinTech,Science (PCB),LLB,10+2 + CLAT,Tax Consultant (FinTech),13.4,Growing
881,Hospitality & Travel,Arts,B.Sc Data Science,Bachelor's + Cert,Marketing Manager (Hospitality),4,High
882,Education,Science (PCB),B.Com,10+2 + Diploma,Sustainability Consultant (Education),11.3,Emerging
883,FinTech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Forensic Accountant (FinTech),23.4,Emerging
884,E-Commerce,Any Stream,B.Tech CSE,10+2 + JEE,Drone Pilot (E-Commerce),9.3,High
885,Agriculture & Allied,Science (PCM),BHM,10+2 + Diploma,Marketing Manager (Agriculture),19.6,Evergreen
886,Education,Any Stream,LLB,Bachelor's + Cert,Metaverse Designer (Education),4.2,Stable
887,Hospitality & Travel,Science (PCB),B.Sc Nursing,10+2 + NEET,Supply Chain Manager (Hospitality),5,Growing
888,AI & ML,Science (PCM/CS),LLB,10+2 + Diploma,Blockchain Developer (AI),19.1,Stable
889,Management,Arts,B.Tech Civil,10+2 + JEE,Drone Pilot (Management),9.5,Stable
890,Law,Commerce,BHM,10+2 + Diploma,Sustainability Consultant (Law),6.5,Growing
891,Space Tech,Science (PCM),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Supply Chain Manager (Space),22.4,Emerging
892,Education,Science (PCM/CS),BA Psychology,Bachelor's + Cert,Quantum Computing Researcher (Education),7.5,Growing
893,Green Energy,Science (PCM/CS),B.Com,10+2 + Bachelor's,Marketing Manager (Green),11.3,High
894,Cybersecurity,Commerce,BA Psychology,Bachelor's + UPSC,Metaverse Designer (Cybersecurity),21.5,Emerging
895,Gig Economy,Any Stream,BA Psychology,Bachelor's + UPSC,Sustainability Consultant (Gig),19.7,Emerging
896,Government & Defense,Science (PCM/CS),B.Sc Data Science,10+2 + Diploma,Metaverse Designer (Government),24.9,Emerging
897,AI & ML,Arts,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,DevOps Engineer (AI),20.2,Stable
898,Management,Any Stream,BHM,10+2 + CLAT,Prompt Engineer (Management),3.6,Emerging
899,Hospitality & Travel,Commerce,B.Tech Civil,10+2 + JEE,Metaverse Designer (Hospitality),13.6,Stable
900,Management,Science (PCB),LLB,10+2 + Diploma,Startup Founder (Management),4.2,Growing
901,FinTech,Science (PCM/CS),LLB,10+2 + Diploma,Tax Consultant (FinTech),10.1,Stable
902,Hospitality & Travel,Commerce,BHM,Bachelor's + UPSC,Quantum Computing Researcher (Hospitality),20.3,Stable
903,Space Tech,Arts,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Metaverse Designer (Space),19.2,High
904,FinTech,Commerce,B.Tech Aerospace,10+2 + JEE,Financial Analyst (FinTech),19.2,Stable
905,Hospitality & Travel,Science (PCM),B.Tech Aerospace,10+2 + JEE,Prompt Engineer (Hospitality),13.9,Stable
906,AI & ML,Any Stream,B.Sc Data Science,10+2 + Diploma,Sustainability Consultant (AI),19.3,Growing
907,Space Tech,Arts,B.Tech CSE,10+2 + JEE,Startup Founder (Space),24.6,Stable
908,Hospitality & Travel,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Prompt Engineer (Hospitality),18.3,Stable
909,Hospitality & Travel,Science (PCM/CS),BA Psychology,10+2 + CLAT,Operations Manager (Hospitality),21.8,Growing
910,E-Commerce,Arts,LLB,10+2 + CLAT,Supply Chain Manager (E-Commerce),20.7,Growing
911,Management,Commerce,LLB,Bachelor's + UPSC,Quantum Computing Researcher (Management),4.1,Growing
912,Engineering,Science (PCM),LLB,Bachelor's + Cert,Civil Engineer (Engineering),19.8,Emerging
913,Agriculture & Allied,Commerce,B.Tech Aerospace,10+2 + JEE,Startup Founder (Agriculture),13.4,Evergreen
914,Agriculture & Allied,Science (PCB),LLB,Bachelor's + UPSC,Prompt Engineer (Agriculture),18.5,Growing
915,Education,Science (PCB),MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,HR Manager (Education),14.4,High
916,Science & Research,Arts,BHM,Bachelor's + UPSC,HR Manager (Science),4.7,Growing
917,Arts & Humanities,Science (PCB),BA Psychology,Bachelor's + UPSC,Quantum Computing Researcher (Arts),21.1,Growing
918,Agriculture & Allied,Science (PCM),B.Sc Data Science,Bachelor's + Cert,Operations Manager (Agriculture),3.7,High
919,Law,Science (PCM),B.Pharma,10+2 + NEET,Drone Pilot (Law),18.7,Emerging
920,AI & ML,Science (PCM/CS),B.Sc Data Science,10+2 + Diploma,AI Engineer (AI),22.7,Emerging
921,Arts & Humanities,Science (PCB),B.Sc Data Science,Bachelor's + UPSC,Quantum Computing Researcher (Arts),3.9,Emerging
922,Media & Design,Any Stream,LLB,10+2 + Bachelor's,Marketing Manager (Media),8.4,Evergreen
923,Hospitality & Travel,Science (PCM/CS),B.Sc Nursing,10+2 + NEET,Operations Manager (Hospitality),13.3,Evergreen
924,Education,Arts,B.Sc Data Science,10+2 + Diploma,Supply Chain Manager (Education),6.6,Growing
925,E-Commerce,Any Stream,B.Com,10+2 + CLAT,Drone Pilot (E-Commerce),13.9,Emerging
926,Media & Design,Any Stream,B.Com,10+2 + Bachelor's,Prompt Engineer (Media),21.5,High
927,Cybersecurity,Arts,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Sustainability Consultant (Cybersecurity),11.2,Emerging
928,FinTech,Science (PCM),LLB,10+2 + Bachelor's,CA (FinTech),3.6,Growing
929,Finance & Commerce,Science (PCB),LLB,10+2 + Diploma,Investment Banker (Finance),12.3,Growing
930,E-Commerce,Science (PCM/CS),MBBS,10+2 + NEET,Prompt Engineer (E-Commerce),7.6,Evergreen
931,FinTech,Arts,B.Sc Data Science,10+2 + Diploma,CA (FinTech),20.1,Emerging
932,Space Tech,Any Stream,LLB,10+2 + Diploma,Quantum Computing Researcher (Space),11.2,Growing
933,Management,Arts,LLB,Bachelor's + UPSC,Sustainability Consultant (Management),11.9,High
934,Cybersecurity,Science (PCB),B.Com,10+2 + Diploma,Full-Stack Developer (Cybersecurity),11.6,High
935,Healthcare,Science (PCM/CS),B.Com,10+2 + CLAT,Medical Researcher (Healthcare),20,Emerging
936,Hospitality & Travel,Science (PCM/CS),BDS,10+2 + NEET,Operations Manager (Hospitality),6.7,Growing
937,Media & Design,Commerce,B.Com,Bachelor's + UPSC,Sustainability Consultant (Media),12.9,Stable
